Numero_de_Parte,Descripcion,Categoria,En_Stock,Comprometido,Pedido,Disponible,Precio
B1590000098P,FILTRO DE AIRE ELEMENTO FZ S 2.0,ACCESORIOS,97.0,0.0,0.0,97.0,1190.87
B1590000099P,FILTRO DE AIRE ELEMENTO YBR-125,ACCESORIOS,98.0,0.0,0.0,98.0,1190.87
B159QT05801NC,FILTRO DE AIRE ELEMENTO TERRAX150,ACCESORIOS,98.0,0.0,0.0,98.0,1190.87
CFADOMNJ,PROTECTORES DE FARO METALICOS DOMINAR NARANJA,ACCESORIOS,2.0,0.0,0.0,2.0,1007.59
CHPICC2X,CHAMARRA DE PIEL CON CIERRES RESPIRADORES XXL,ACCESORIOS,1.0,0.0,0.0,1.0,5590.48
CHPIDR2X,CHAMARRA DE PIEL NEGRA MOTODRIVE FRANJAS NARANJAS  XXL,ACCESORIOS,1.0,0.0,0.0,1.0,5691.43
CHPIDRCH,CHAMARRA DE PIEL NEGRA MOTODRIVE FRANJAS NARANJAS CHICA,ACCESORIOS,2.0,0.0,0.0,2.0,5590.48
CHPIDREX,CHAMARRA DE PIEL NEGRA MOTODRIVE FRANJAS NARANJAS XL,ACCESORIOS,1.0,0.0,0.0,1.0,5691.43
CHPIDRGD,CHAMARRA DE PIEL NEGRA MOTODRIVE FRANJAS NARANJAS GRANDE,ACCESORIOS,2.0,0.0,0.0,2.0,5691.43
CHPIDRMD,CHAMARRA DE PIEL NEGRA MOTODRIVE FRANJAS NARANJAS MEDIANA,ACCESORIOS,3.0,0.0,0.0,3.0,5691.43
CHPIELEX,CHAMARRA DE PIEL EXTRA GRANDE,ACCESORIOS,1.0,0.0,0.0,1.0,5352.38
KITBMCA1,KIT BAJAJMANIA CG1,ACCESORIOS,33.0,0.0,0.0,33.0,861.89
KITPOLICE,JGO DE MOTOPATRULLA,ACCESORIOS,3.0,0.0,0.0,3.0,11955.95
KTD400NJ,KIT DOMINAR 400 NARANJA,ACCESORIOS,2.0,0.0,0.0,2.0,6858.0
PRBOXJAU,PARRILLA PARA MASECA BOXER 150,ACCESORIOS,115.0,0.0,0.0,115.0,1548.26
PRORAN16,PROTECTOR DE RADIADOR N160,ACCESORIOS,40.0,0.0,0.0,40.0,863.64
PRORAN25,PROTECTOR RADIADOR N250,ACCESORIOS,40.0,0.0,0.0,40.0,863.64
PRP160JA,PARRILLA PARA MASECA PULSAR 160,ACCESORIOS,58.0,0.0,0.0,58.0,1548.26
MDREFRL10T200,MOTODRIVE ANTONGELANTE RL10 T200,ACEITE MD,1.0,0.0,0.0,1.0,14041.13
P11218,ACEITE IDEMITSU IRG3 10W40 MA2 1L,ACEITE MD,1528.0,0.0,0.0,1528.0,226.67
B0570060007P,BATERIA 12N.6.5 BS GEL,BATERIA,62.0,0.0,0.0,62.0,582.75
B0571530017,BATERIA YTX7A-BS GEL,BATERIA,10.0,23.0,0.0,-13.0,636.2
B057XC01511NB,BATERIA 12N9-BS,BATERIA,38.0,0.0,0.0,38.0,708.6
CAFDBLEE,CASCO FULL FACE DOUBLE VISOR XXL BLANCO,CASCO,3.0,0.0,0.0,3.0,1080.04
CAFDBLMD,CASCO FULL FACE DOUBLE VISOR M BLANCO,CASCO,1.0,0.0,0.0,1.0,1080.04
CASCGENE,CASCO GENERICO MOTODRIVE,CASCO,229.0,0.0,0.0,229.0,0.01
CASOAZCH,CASCO ABATIBLE SOLIDO MOTODRV S AZUL MATE,CASCO,2.0,0.0,0.0,2.0,992.71
CASOAZMD,CASCO ABATIBLE SOLIDO MOTODRV M AZUL MATE,CASCO,2.0,0.0,0.0,2.0,992.71
CAWAAZCH,CASCO ABATIBLE AZT MOTODRIVE S AZUL,CASCO,12.0,0.0,0.0,12.0,1080.16
CAWAAZMD,CASCO ABATIBLE AZT MOTODRIVE M AZUL,CASCO,4.0,0.0,0.0,4.0,1080.16
GRM1205BS,CASCO MD M1205 FULL FACE VPS LED BLACK T-S,CASCO,1.0,0.0,0.0,1.0,1461.24
GRM1205BXS,CASCO MD M1205 FULL FACE VPS LED BLACK T-XS,CASCO,5.0,0.0,0.0,5.0,1461.24
GRM1205GRXS,CASCO MD M1205 FULL FACE VPS LED GREEN/RED T-XS,CASCO,8.0,0.0,0.0,8.0,1461.24
GRM1205PBS,CASCO MD M1205 FULL FACE VPS LED PINK/BLUE T-S,CASCO,17.0,0.0,0.0,17.0,1461.24
GRM1205PBXS,CASCO MD M1205 FULL FACE VPS LED PINK/BLUE T-XS,CASCO,22.0,0.0,0.0,22.0,1461.24
GRM166MBBXS,CASCO MD M166 FLIP UP MAT BLACK/BLUE T-XS,CASCO,18.0,0.0,0.0,18.0,1276.74
GRM166MBPXS,CASCO MD M166 FLIP UP MAT BLACK/PINK T-XS,CASCO,12.0,0.0,0.0,12.0,1276.74
GRM166MBRXS,CASCO MD M166 FLIP UP MAT BLACK/RED T-XS,CASCO,7.0,0.0,0.0,7.0,1276.74
GRM67MBGS,CASCO MD M67 FULL FACE VPS MAT BLACK/GREEN T-S,CASCO,1.0,0.0,0.0,1.0,1257.06
GRM70MBRXL,CASCO MD M70 FULL FACE MAT BLACK/RED  T-XL,CASCO,1.0,0.0,0.0,1.0,1401.3
HM163BLXS,CASCO MD GR163 MULTI FUNCTION BLUE T-XS,CASCO,2.0,0.0,0.0,2.0,2286.21
HM163CARS,CASCO MD GR163 MULTI FUN CARNAGE T-S,CASCO,1.0,0.0,0.0,1.0,2286.21
HM163CARXL,CASCO MD GR163 MULTI FUN CARNAGE T-XL,CASCO,1.0,0.0,0.0,1.0,2286.21
HM163RDS,CASCO MD GR163 MULTI FUNCTION RED T-S,CASCO,6.0,0.0,0.0,6.0,2286.21
HM163RDXS,CASCO MD GR163 MULTI FUNCTION RED T-XS,CASCO,2.0,0.0,0.0,2.0,2286.21
HM166BKXS,CASCO MD M166 FLIP UP VPS BLACK T-XS,CASCO,5.0,0.0,0.0,5.0,1782.0
HM166BLXS,CASCO MD M166 FLIP UP VPS BLUE T-XS,CASCO,2.0,0.0,0.0,2.0,1557.76
